substance,ec,cas,clp_class,h_code
"warfarin (ISO); 4-hydroxy-3-(3-oxo-1-phenylbutyl)-2H-chromen-2-one [1]
(S)-4-hydroxy-3-(3-oxo-1-phenylbutyl)-2-benzopyrone [2]
(R)-4-hydroxy-3-(3-oxo-1-phenylbutyl)-2-benzopyrone  [3]
","201-377-6 [1]
226-907-3 [2]
226-908-9 [3]
","81-81-2 [1]
5543-57-7 [2]
5543-58-8 [3]
",Aquatic Chronic 2,H411
coumachlor (ISO); 3-[1-(4-chlorophenyl)-3-oxobutyl]-4-hydroxycoumarin,201-378-1,81-82-3,STOT RE 2 *,H373 **
coumachlor (ISO); 3-[1-(4-chlorophenyl)-3-oxobutyl]-4-hydroxycoumarin,201-378-1,81-82-3,Aquatic Chronic 3,H412
coumafuryl (ISO); fumarin; (RS)-3-(1-(2-furyl)-3-oxobutyl)4-hydroxycoumarin; 4-hydroxy-3-[3-oxo-1-(2-furyl) butyl]coumarin,204-195-5,117-52-2,Acute Tox. 3 *,H301
coumafuryl (ISO); fumarin; (RS)-3-(1-(2-furyl)-3-oxobutyl)4-hydroxycoumarin; 4-hydroxy-3-[3-oxo-1-(2-furyl) butyl]coumarin,204-195-5,117-52-2,STOT RE 1,H372 **
coumafuryl (ISO); fumarin; (RS)-3-(1-(2-furyl)-3-oxobutyl)4-hydroxycoumarin; 4-hydroxy-3-[3-oxo-1-(2-furyl) butyl]coumarin,204-195-5,117-52-2,Aquatic Chronic 3,H412
"coumatetralyl (ISO); 4-hydroxy-3-(1,2,3,4-tetrahydro-1-naphthyl)coumarin",227-424-0,5836-29-3,Repr. 1B,H360D
"coumatetralyl (ISO); 4-hydroxy-3-(1,2,3,4-tetrahydro-1-naphthyl)coumarin",227-424-0,5836-29-3,Acute Tox. 2,H330
"coumatetralyl (ISO); 4-hydroxy-3-(1,2,3,4-tetrahydro-1-naphthyl)coumarin",227-424-0,5836-29-3,Acute Tox. 2,H300
"coumatetralyl (ISO); 4-hydroxy-3-(1,2,3,4-tetrahydro-1-naphthyl)coumarin",227-424-0,5836-29-3,Acute Tox. 3,H311
"coumatetralyl (ISO); 4-hydroxy-3-(1,2,3,4-tetrahydro-1-naphthyl)coumarin",227-424-0,5836-29-3,STOT RE 1,H372 (blood)
"coumatetralyl (ISO); 4-hydroxy-3-(1,2,3,4-tetrahydro-1-naphthyl)coumarin",227-424-0,5836-29-3,Aquatic Chronic 1,H410
"dicoumarol; 4,4'-dihydroxy-3,3'-methylenebis(2H-chromen-2-one)",200-632-9,66-76-2,Acute Tox. 4 *,H302
"dicoumarol; 4,4'-dihydroxy-3,3'-methylenebis(2H-chromen-2-one)",200-632-9,66-76-2,STOT RE 1,H372 **
"dicoumarol; 4,4'-dihydroxy-3,3'-methylenebis(2H-chromen-2-one)",200-632-9,66-76-2,Aquatic Chronic 2,H411
acrylic acid; prop-2-enoic acid,201-177-9,79-10-7,Flam. Liq. 3,H226
acrylic acid; prop-2-enoic acid,201-177-9,79-10-7,Acute Tox. 4 *,H332
acrylic acid; prop-2-enoic acid,201-177-9,79-10-7,Acute Tox. 4 *,H312
acrylic acid; prop-2-enoic acid,201-177-9,79-10-7,Acute Tox. 4 *,H302
acrylic acid; prop-2-enoic acid,201-177-9,79-10-7,Skin Corr. 1A,H314
acrylic acid; prop-2-enoic acid,201-177-9,79-10-7,Aquatic Acute 1,H400
n-butyl acrylate,205-480-7,141-32-2,Flam. Liq. 3,H226
n-butyl acrylate,205-480-7,141-32-2,STOT SE 3,H335
n-butyl acrylate,205-480-7,141-32-2,Skin Irrit. 2,H315
n-butyl acrylate,205-480-7,141-32-2,Eye Irrit. 2,H319
n-butyl acrylate,205-480-7,141-32-2,Skin Sens. 1,H317
isobutyric acid,201-195-7,79-31-2,Acute Tox. 4 *,H312
isobutyric acid,201-195-7,79-31-2,Acute Tox. 4 *,H302
benzyl chloroformate,207-925-0,501-53-1,Skin Corr. 1B,H314
benzyl chloroformate,207-925-0,501-53-1,Aquatic Acute 1,H400
benzyl chloroformate,207-925-0,501-53-1,Aquatic Chronic 1,H410
bromoacetic acid,201-175-8,79-08-3,Acute Tox. 3 *,H331
bromoacetic acid,201-175-8,79-08-3,Acute Tox. 3 *,H311
bromoacetic acid,201-175-8,79-08-3,Acute Tox. 3 *,H301
bromoacetic acid,201-175-8,79-08-3,Skin Corr. 1A,H314
bromoacetic acid,201-175-8,79-08-3,Skin Sens. 1,H317
bromoacetic acid,201-175-8,79-08-3,Aquatic Acute 1,H400
dichloroacetic acid,201-207-0,79-43-6,Skin Corr. 1A,H314
dichloroacetic acid,201-207-0,79-43-6,Aquatic Acute 1,H400
dichloroacetyl chloride,201-199-9,79-36-7,Skin Corr. 1A,H314
dichloroacetyl chloride,201-199-9,79-36-7,Aquatic Acute 1,H400
iodoacetic acid,200-590-1,64-69-7,Acute Tox. 3 *,H301
iodoacetic acid,200-590-1,64-69-7,Skin Corr. 1A,H314
ethyl bromoacetate,203-290-9,105-36-2,Acute Tox. 1,H310
ethyl bromoacetate,203-290-9,105-36-2,Acute Tox. 2 *,H330
ethyl bromoacetate,203-290-9,105-36-2,Acute Tox. 2 *,H300
ethyl chloroacetate,203-294-0,105-39-5,Acute Tox. 3 *,H331
ethyl chloroacetate,203-294-0,105-39-5,Acute Tox. 3 *,H311
ethyl chloroacetate,203-294-0,105-39-5,Acute Tox. 3 *,H301
ethyl chloroacetate,203-294-0,105-39-5,Aquatic Acute 1,H400
ethyl methacrylate,202-597-5,97-63-2,Flam. Liq. 2,H225
ethyl methacrylate,202-597-5,97-63-2,STOT SE 3,H335
ethyl methacrylate,202-597-5,97-63-2,Skin Irrit. 2,H315
ethyl methacrylate,202-597-5,97-63-2,Eye Irrit. 2,H319
ethyl methacrylate,202-597-5,97-63-2,Skin Sens. 1,H317
2-hydroxyethyl acrylate,212-454-9,818-61-1,Acute Tox. 3 *,H311
2-hydroxyethyl acrylate,212-454-9,818-61-1,Skin Corr. 1B,H314
2-hydroxyethyl acrylate,212-454-9,818-61-1,Skin Sens. 1,H317
2-hydroxyethyl acrylate,212-454-9,818-61-1,Aquatic Acute 1,H400
4-CPA (ISO); 4-chlorophenoxyacetic acid,204-581-3,122-88-3,Acute Tox. 4 *,H302
"chlorfenac (ISO); 2,3,6-trichlorophenylacetic acid",201-599-3,85-34-7,Acute Tox. 4 *,H302
"chlorfenac (ISO); 2,3,6-trichlorophenylacetic acid",201-599-3,85-34-7,Aquatic Chronic 2,H411
chlorfenprop-methyl; methyl 2-chloro-3-(4-chlorophenyl)propionate,238-413-5,14437-17-3,Acute Tox. 4 *,H312
chlorfenprop-methyl; methyl 2-chloro-3-(4-chlorophenyl)propionate,238-413-5,14437-17-3,Acute Tox. 4 *,H302
chlorfenprop-methyl; methyl 2-chloro-3-(4-chlorophenyl)propionate,238-413-5,14437-17-3,Aquatic Acute 1,H400
chlorfenprop-methyl; methyl 2-chloro-3-(4-chlorophenyl)propionate,238-413-5,14437-17-3,Aquatic Chronic 1,H410
dodine (ISO); dodecylguanidinium acetate,219-459-5,2439-10-3,Acute Tox. 4 *,H302
dodine (ISO); dodecylguanidinium acetate,219-459-5,2439-10-3,Skin Irrit. 2,H315
dodine (ISO); dodecylguanidinium acetate,219-459-5,2439-10-3,Eye Irrit. 2,H319
dodine (ISO); dodecylguanidinium acetate,219-459-5,2439-10-3,Aquatic Acute 1,H400
dodine (ISO); dodecylguanidinium acetate,219-459-5,2439-10-3,Aquatic Chronic 1,H410
"erbon (ISO); 2-(2,4,5-trichlorophenoxy)ethyl 2,2-dichloropropionate",NA,136-25-4,Acute Tox. 4 *,H302
"erbon (ISO); 2-(2,4,5-trichlorophenoxy)ethyl 2,2-dichloropropionate",NA,136-25-4,Aquatic Chronic 2,H411
fluenetil (ISO); 2-fluoroethyl biphenyl-4-ylacetate,NA,4301-50-2,Acute Tox. 1,H310
fluenetil (ISO); 2-fluoroethyl biphenyl-4-ylacetate,NA,4301-50-2,Acute Tox. 2 *,H300
"kelevan (ISO); ethyl 5-(perchloro-5-hydroxypentacyclo[5,3,0,02,6,03,9,04,8]decan-5-yl)-4-oxopentanoate; ethyl 5-(1,2,3,5,6,7,8,9,10,10-decachloro-4-hydroxypentacyclo(5,2,1,02,6,03,9,05,8)dec-4-yl)-4-oxovalerate",NA,4234-79-1,Acute Tox. 3 *,H311
"kelevan (ISO); ethyl 5-(perchloro-5-hydroxypentacyclo[5,3,0,02,6,03,9,04,8]decan-5-yl)-4-oxopentanoate; ethyl 5-(1,2,3,5,6,7,8,9,10,10-decachloro-4-hydroxypentacyclo(5,2,1,02,6,03,9,05,8)dec-4-yl)-4-oxovalerate",NA,4234-79-1,Acute Tox. 4 *,H302
"kelevan (ISO); ethyl 5-(perchloro-5-hydroxypentacyclo[5,3,0,02,6,03,9,04,8]decan-5-yl)-4-oxopentanoate; ethyl 5-(1,2,3,5,6,7,8,9,10,10-decachloro-4-hydroxypentacyclo(5,2,1,02,6,03,9,05,8)dec-4-yl)-4-oxovalerate",NA,4234-79-1,Aquatic Chronic 2,H411
chloroacetyl chloride,201-171-6,79-04-9,Acute Tox. 3 *,H331
chloroacetyl chloride,201-171-6,79-04-9,Acute Tox. 3 *,H311
chloroacetyl chloride,201-171-6,79-04-9,Acute Tox. 3 *,H301
chloroacetyl chloride,201-171-6,79-04-9,STOT RE 1,H372 **
chloroacetyl chloride,201-171-6,79-04-9,Skin Corr. 1A,H314
chloroacetyl chloride,201-171-6,79-04-9,Aquatic Acute 1,H400
fluoroacetic acid,205-631-7,144-49-0,Acute Tox. 2 *,H300
fluoroacetic acid,205-631-7,144-49-0,Aquatic Acute 1,H400
"fluoroacetates, soluble",NA,NA,Acute Tox. 2 *,H300
"fluoroacetates, soluble",NA,NA,Aquatic Acute 1,H400
"2,4-DB (ISO); 4-(2,4-dichlorophenoxy)butyric acid",202-366-9,94-82-6,Acute Tox. 4 *,H302
"2,4-DB (ISO); 4-(2,4-dichlorophenoxy)butyric acid",202-366-9,94-82-6,Aquatic Chronic 2,H411
"salts of 2,4-DB",NA,NA,Acute Tox. 4 *,H302
"salts of 2,4-DB",NA,NA,Eye Dam. 1,H318
"salts of 2,4-DB",NA,NA,Aquatic Chronic 2,H411
benzyl benzoate,204-402-9,120-51-4,Acute Tox. 4 *,H302
benzyl benzoate,204-402-9,120-51-4,Aquatic Chronic 2,H411
diallyl phthalate,205-016-3,131-17-9,Acute Tox. 4 *,H302
diallyl phthalate,205-016-3,131-17-9,Aquatic Acute 1,H400
diallyl phthalate,205-016-3,131-17-9,Aquatic Chronic 1,H410
methacrylic acid; 2-methylpropenoic acid,201-204-4,79-41-4,Acute Tox. 4 *,H312
methacrylic acid; 2-methylpropenoic acid,201-204-4,79-41-4,Acute Tox. 4 *,H302
methacrylic acid; 2-methylpropenoic acid,201-204-4,79-41-4,Skin Corr. 1A,H314
propionic acid … %,201-176-3,79-09-4,Skin Corr. 1B,H314
thioglycolic acid,200-677-4,68-11-1,Acute Tox. 3 *,H331
thioglycolic acid,200-677-4,68-11-1,Acute Tox. 3 *,H311
thioglycolic acid,200-677-4,68-11-1,Acute Tox. 3 *,H301
thioglycolic acid,200-677-4,68-11-1,Skin Corr. 1B,H314
trifluoroacetic acid . . . %,200-929-3,76-05-1,Acute Tox. 4 *,H332
trifluoroacetic acid . . . %,200-929-3,76-05-1,Skin Corr. 1A,H314
trifluoroacetic acid . . . %,200-929-3,76-05-1,Aquatic Chronic 3,H412
"methyl lactate [1]
methyl (±)-lactate [2]
methyl (R)-lactate [3]
methyl (S)-(-)-lactate  [4]
","208-930-0 [1]
218-449-8 [2]
241-420-6 [3]
248-704-9 [4]
","547-64-8 [1]
2155-30-8 [2]
17392-83-5 [3]
27871-49-4 [4]
",Flam. Liq. 3,H226
"methyl lactate [1]
methyl (±)-lactate [2]
methyl (R)-lactate [3]
methyl (S)-(-)-lactate  [4]
","208-930-0 [1]
218-449-8 [2]
241-420-6 [3]
248-704-9 [4]
","547-64-8 [1]
2155-30-8 [2]
17392-83-5 [3]
27871-49-4 [4]
",STOT SE 3,H335
"methyl lactate [1]
methyl (±)-lactate [2]
methyl (R)-lactate [3]
methyl (S)-(-)-lactate  [4]
","208-930-0 [1]
218-449-8 [2]
241-420-6 [3]
248-704-9 [4]
","547-64-8 [1]
2155-30-8 [2]
17392-83-5 [3]
27871-49-4 [4]
",Eye Irrit. 2,H319
propionyl chloride,201-170-0,79-03-8,Flam. Liq. 2,H225
propionyl chloride,201-170-0,79-03-8,Skin Corr. 1B,H314
peracetic acid . . . %,201-186-8,79-21-0,Flam. Liq. 3,H226
peracetic acid . . . %,201-186-8,79-21-0,Org. Perox. D ****,H242
peracetic acid . . . %,201-186-8,79-21-0,Acute Tox. 4 *,H332
peracetic acid . . . %,201-186-8,79-21-0,Acute Tox. 4 *,H312
peracetic acid . . . %,201-186-8,79-21-0,Acute Tox. 4 *,H302
peracetic acid . . . %,201-186-8,79-21-0,Skin Corr. 1A,H314
peracetic acid . . . %,201-186-8,79-21-0,Aquatic Acute 1,H400
maleic acid,203-742-5,110-16-7,Acute Tox. 4 *,H302
maleic acid,203-742-5,110-16-7,STOT SE 3,H335
maleic acid,203-742-5,110-16-7,Skin Irrit. 2,H315
maleic acid,203-742-5,110-16-7,Eye Irrit. 2,H319
maleic acid,203-742-5,110-16-7,Skin Sens. 1,H317
maleic anhydride,203-571-6,108-31-6,Acute Tox. 4 *,H302
maleic anhydride,203-571-6,108-31-6,Skin Corr. 1B,H314
maleic anhydride,203-571-6,108-31-6,Resp. Sens. 1,H334
maleic anhydride,203-571-6,108-31-6,Skin Sens. 1,H317
"benzene-1,2,4-tricarboxylic acid 1,2-anhydride; trimellitic anhydride",209-008-0,552-30-7,STOT SE 3,H335
"benzene-1,2,4-tricarboxylic acid 1,2-anhydride; trimellitic anhydride",209-008-0,552-30-7,Eye Dam. 1,H318
"benzene-1,2,4-tricarboxylic acid 1,2-anhydride; trimellitic anhydride",209-008-0,552-30-7,Resp. Sens. 1,H334
"benzene-1,2,4-tricarboxylic acid 1,2-anhydride; trimellitic anhydride",209-008-0,552-30-7,Skin Sens. 1,H317
"benzene-1,2:4,5-tetracarboxylic dianhydride; benzene-1,2:4,5-tetracarboxylic dianhydride; pyromellitic dianhydride",201-898-9,89-32-7,Eye Dam. 1,H318
"benzene-1,2:4,5-tetracarboxylic dianhydride; benzene-1,2:4,5-tetracarboxylic dianhydride; pyromellitic dianhydride",201-898-9,89-32-7,Resp. Sens. 1,H334
"benzene-1,2:4,5-tetracarboxylic dianhydride; benzene-1,2:4,5-tetracarboxylic dianhydride; pyromellitic dianhydride",201-898-9,89-32-7,Skin Sens. 1,H317
"1,2,3,6-tetrahydrophthalic anhydride [1]
cis-1,2,3,6-tetrahydrophthalic anhydride [2]
3,4,5,6-tetrahydrophthalic anhydride [3]
tetrahydrophthalic anhydride  [4]
","201-605-4 [1]
213-308-7 [2]
219-374-3 [3]
247-570-9 [4]
","85-43-8 [1]
935-79-5 [2]
2426-02-0 [3]
26266-63-7 [4]
",Eye Dam. 1,H318
"1,2,3,6-tetrahydrophthalic anhydride [1]
cis-1,2,3,6-tetrahydrophthalic anhydride [2]
3,4,5,6-tetrahydrophthalic anhydride [3]
tetrahydrophthalic anhydride  [4]
","201-605-4 [1]
213-308-7 [2]
219-374-3 [3]
247-570-9 [4]
","85-43-8 [1]
935-79-5 [2]
2426-02-0 [3]
26266-63-7 [4]
",Resp. Sens. 1,H334
"1,2,3,6-tetrahydrophthalic anhydride [1]
cis-1,2,3,6-tetrahydrophthalic anhydride [2]
3,4,5,6-tetrahydrophthalic anhydride [3]
tetrahydrophthalic anhydride  [4]
","201-605-4 [1]
213-308-7 [2]
219-374-3 [3]
247-570-9 [4]
","85-43-8 [1]
935-79-5 [2]
2426-02-0 [3]
26266-63-7 [4]
",Skin Sens. 1,H317
"1,2,3,6-tetrahydrophthalic anhydride [1]
cis-1,2,3,6-tetrahydrophthalic anhydride [2]
3,4,5,6-tetrahydrophthalic anhydride [3]
tetrahydrophthalic anhydride  [4]
","201-605-4 [1]
213-308-7 [2]
219-374-3 [3]
247-570-9 [4]
","85-43-8 [1]
935-79-5 [2]
2426-02-0 [3]
26266-63-7 [4]
",Aquatic Chronic 3,H412
"benzophenone-3,3',4,4'-tetracarboxylic dianhydride; 4,4'-carbonyldi(phthalic anhydride)",219-348-1,2421-28-5,STOT SE 3,H335
"benzophenone-3,3',4,4'-tetracarboxylic dianhydride; 4,4'-carbonyldi(phthalic anhydride)",219-348-1,2421-28-5,Eye Irrit. 2,H319
"1,4,5,6,7,7-hexachlorobicyclo [2,2,1]hept-5-ene-2,3-dicarboxylic anhydride chlorendic anhydride",204-077-3,115-27-5,STOT SE 3,H335
"1,4,5,6,7,7-hexachlorobicyclo [2,2,1]hept-5-ene-2,3-dicarboxylic anhydride chlorendic anhydride",204-077-3,115-27-5,Skin Irrit. 2,H315
"1,4,5,6,7,7-hexachlorobicyclo [2,2,1]hept-5-ene-2,3-dicarboxylic anhydride chlorendic anhydride",204-077-3,115-27-5,Eye Irrit. 2,H319
"cyclohexane-1,2-dicarboxylic anhydride [1]
cis-cyclohexane-1,2-dicarboxylic anhydride [2]
trans-cyclohexane-1,2-dicarboxylic anhydride  [3]
","201-604-9 [1]
236-086-3 [2]
238-009-9 [3]
","85-42-7 [1]
13149-00-3 [2]
14166-21-3 [3]
",Eye Dam. 1,H318
"cyclohexane-1,2-dicarboxylic anhydride [1]
cis-cyclohexane-1,2-dicarboxylic anhydride [2]
trans-cyclohexane-1,2-dicarboxylic anhydride  [3]
","201-604-9 [1]
236-086-3 [2]
238-009-9 [3]
","85-42-7 [1]
13149-00-3 [2]
14166-21-3 [3]
",Resp. Sens. 1,H334
"cyclohexane-1,2-dicarboxylic anhydride [1]
cis-cyclohexane-1,2-dicarboxylic anhydride [2]
trans-cyclohexane-1,2-dicarboxylic anhydride  [3]
","201-604-9 [1]
236-086-3 [2]
238-009-9 [3]
","85-42-7 [1]
13149-00-3 [2]
14166-21-3 [3]
",Skin Sens. 1,H317
succinic anhydride,203-570-0,108-30-5,Acute Tox. 4 *,H302
succinic anhydride,203-570-0,108-30-5,STOT SE 3,H335
succinic anhydride,203-570-0,108-30-5,Eye Irrit. 2,H319
"cyclopentane-1,2,3,4-tetracarboxylic dianhydride",227-964-7,6053-68-5,STOT SE 3,H335
"cyclopentane-1,2,3,4-tetracarboxylic dianhydride",227-964-7,6053-68-5,Eye Irrit. 2,H319
"8,9,10-trinorborn-5-ene-2,3-dicarboxylic anhydride [1]
1,2,3,6-tetrahydro-3,6-methanophthalic anhydride [2]
(1α,2α,3β,6β)-1,2,3,6-tetrahydro-3,6-methanophthalic anhydride  [3]
","204-957-7 [1]
212-557-9 [2]
220-384-5 [3]
","129-64-6 [1]
826-62-0 [2]
2746-19-2 [3]
",Eye Dam. 1,H318
"8,9,10-trinorborn-5-ene-2,3-dicarboxylic anhydride [1]
1,2,3,6-tetrahydro-3,6-methanophthalic anhydride [2]
(1α,2α,3β,6β)-1,2,3,6-tetrahydro-3,6-methanophthalic anhydride  [3]
","204-957-7 [1]
212-557-9 [2]
220-384-5 [3]
","129-64-6 [1]
826-62-0 [2]
2746-19-2 [3]
",Resp. Sens. 1,H334
"8,9,10-trinorborn-5-ene-2,3-dicarboxylic anhydride [1]
1,2,3,6-tetrahydro-3,6-methanophthalic anhydride [2]
(1α,2α,3β,6β)-1,2,3,6-tetrahydro-3,6-methanophthalic anhydride  [3]
","204-957-7 [1]
212-557-9 [2]
220-384-5 [3]
","129-64-6 [1]
826-62-0 [2]
2746-19-2 [3]
",Skin Sens. 1,H317
"8,9-dinorborn-5-ene-2,3-dicarboxylic anhydride",NA,123748-85-6,Acute Tox. 4 *,H302
"8,9-dinorborn-5-ene-2,3-dicarboxylic anhydride",NA,123748-85-6,STOT SE 3,H335
"8,9-dinorborn-5-ene-2,3-dicarboxylic anhydride",NA,123748-85-6,Skin Irrit. 2,H315
"8,9-dinorborn-5-ene-2,3-dicarboxylic anhydride",NA,123748-85-6,Eye Irrit. 2,H319
"8,9-dinorborn-5-ene-2,3-dicarboxylic anhydride",NA,123748-85-6,Resp. Sens. 1,H334
2-ethylhexyl acrylate,203-080-7,103-11-7,STOT SE 3,H335
2-ethylhexyl acrylate,203-080-7,103-11-7,Skin Irrit. 2,H315
2-ethylhexyl acrylate,203-080-7,103-11-7,Skin Sens. 1,H317
"2-hydroxy-1-methylethylacrylate [1]
2-hydroxypropylacrylate [2]
acrylic acid, monoester with propane-1,2-diol  [3]
","220-852-9 [1]
213-663-8 [2]
247-118-0 [3]
","2918-23-2 [1]
999-61-1 [2]
25584-83-2 [3]
",Acute Tox. 3 *,H331
"2-hydroxy-1-methylethylacrylate [1]
2-hydroxypropylacrylate [2]
acrylic acid, monoester with propane-1,2-diol  [3]
","220-852-9 [1]
213-663-8 [2]
247-118-0 [3]
","2918-23-2 [1]
999-61-1 [2]
25584-83-2 [3]
",Acute Tox. 3 *,H311
"2-hydroxy-1-methylethylacrylate [1]
2-hydroxypropylacrylate [2]
acrylic acid, monoester with propane-1,2-diol  [3]
","220-852-9 [1]
213-663-8 [2]
247-118-0 [3]
","2918-23-2 [1]
999-61-1 [2]
25584-83-2 [3]
",Acute Tox. 3 *,H301
"2-hydroxy-1-methylethylacrylate [1]
2-hydroxypropylacrylate [2]
acrylic acid, monoester with propane-1,2-diol  [3]
","220-852-9 [1]
213-663-8 [2]
247-118-0 [3]
","2918-23-2 [1]
999-61-1 [2]
25584-83-2 [3]
",Skin Corr. 1B,H314
"2-hydroxy-1-methylethylacrylate [1]
2-hydroxypropylacrylate [2]
acrylic acid, monoester with propane-1,2-diol  [3]
","220-852-9 [1]
213-663-8 [2]
247-118-0 [3]
","2918-23-2 [1]
999-61-1 [2]
25584-83-2 [3]
",Skin Sens. 1,H317
"hexamethylene diacrylate; hexane-1,6-diol diacrylate",235-921-9,13048-33-4,Skin Irrit. 2,H315
"hexamethylene diacrylate; hexane-1,6-diol diacrylate",235-921-9,13048-33-4,Eye Irrit. 2,H319
"hexamethylene diacrylate; hexane-1,6-diol diacrylate",235-921-9,13048-33-4,Skin Sens. 1,H317
pentaerythritol triacrylate,222-540-8,3524-68-3,Skin Irrit. 2,H315
pentaerythritol triacrylate,222-540-8,3524-68-3,Eye Irrit. 2,H319
pentaerythritol triacrylate,222-540-8,3524-68-3,Skin Sens. 1,H317
"2,2-bis(acryloyloxymethyl)butyl acrylate; trimethylolpropane triacrylate",239-701-3,15625-89-5,Skin Irrit. 2,H315
"2,2-bis(acryloyloxymethyl)butyl acrylate; trimethylolpropane triacrylate",239-701-3,15625-89-5,Eye Irrit. 2,H319
"2,2-bis(acryloyloxymethyl)butyl acrylate; trimethylolpropane triacrylate",239-701-3,15625-89-5,Skin Sens. 1,H317
"2,2-dimethyltrimethylene diacrylate; neopentyl glycol diacrylate",218-741-5,2223-82-7,Acute Tox. 3 *,H311
"2,2-dimethyltrimethylene diacrylate; neopentyl glycol diacrylate",218-741-5,2223-82-7,Skin Irrit. 2,H315
"2,2-dimethyltrimethylene diacrylate; neopentyl glycol diacrylate",218-741-5,2223-82-7,Eye Irrit. 2,H319
"2,2-dimethyltrimethylene diacrylate; neopentyl glycol diacrylate",218-741-5,2223-82-7,Skin Sens. 1,H317
isobutyl methacrylate,202-613-0,97-86-9,Flam. Liq. 3,H226
isobutyl methacrylate,202-613-0,97-86-9,STOT SE 3,H335
isobutyl methacrylate,202-613-0,97-86-9,Skin Irrit. 2,H315
isobutyl methacrylate,202-613-0,97-86-9,Eye Irrit. 2,H319
isobutyl methacrylate,202-613-0,97-86-9,Skin Sens. 1,H317
isobutyl methacrylate,202-613-0,97-86-9,Aquatic Acute 1,H400
ethylene dimethacrylate,202-617-2,97-90-5,STOT SE 3,H335
ethylene dimethacrylate,202-617-2,97-90-5,Skin Sens. 1,H317
isobutyl acrylate,203-417-8,106-63-8,Flam. Liq. 3,H226
isobutyl acrylate,203-417-8,106-63-8,Acute Tox. 4 *,H332
isobutyl acrylate,203-417-8,106-63-8,Acute Tox. 4 *,H312
isobutyl acrylate,203-417-8,106-63-8,Skin Irrit. 2,H315
isobutyl acrylate,203-417-8,106-63-8,Skin Sens. 1,H317
cyclohexyl acrylate,221-319-3,3066-71-5,STOT SE 3,H335
cyclohexyl acrylate,221-319-3,3066-71-5,Skin Irrit. 2,H315
cyclohexyl acrylate,221-319-3,3066-71-5,Aquatic Chronic 2,H411
"2,3-epoxypropyl acrylate; glycidyl acrylate",203-440-3,106-90-1,Acute Tox. 3 *,H331
"2,3-epoxypropyl acrylate; glycidyl acrylate",203-440-3,106-90-1,Acute Tox. 3 *,H311
"2,3-epoxypropyl acrylate; glycidyl acrylate",203-440-3,106-90-1,Acute Tox. 3 *,H301
"2,3-epoxypropyl acrylate; glycidyl acrylate",203-440-3,106-90-1,Skin Corr. 1B,H314
"2,3-epoxypropyl acrylate; glycidyl acrylate",203-440-3,106-90-1,Skin Sens. 1,H317
"1-methyltrimethylene diacrylate; 1,3-butylene glycol diacrylate",243-105-9,19485-03-1,Acute Tox. 4 *,H312
"1-methyltrimethylene diacrylate; 1,3-butylene glycol diacrylate",243-105-9,19485-03-1,Skin Corr. 1B,H314
"1-methyltrimethylene diacrylate; 1,3-butylene glycol diacrylate",243-105-9,19485-03-1,Skin Sens. 1,H317
"tetramethylene diacrylate; 1,4-butyleneglycol diacrylate",213-979-6,1070-70-8,Acute Tox. 4 *,H312
"tetramethylene diacrylate; 1,4-butyleneglycol diacrylate",213-979-6,1070-70-8,Skin Corr. 1B,H314
"tetramethylene diacrylate; 1,4-butyleneglycol diacrylate",213-979-6,1070-70-8,Skin Sens. 1,H317
"2,2'-oxydiethyl diacrylate; diethylene glycol diacrylate",223-791-6,4074-88-8,Acute Tox. 3 *,H311
"2,2'-oxydiethyl diacrylate; diethylene glycol diacrylate",223-791-6,4074-88-8,Skin Irrit. 2,H315
"2,2'-oxydiethyl diacrylate; diethylene glycol diacrylate",223-791-6,4074-88-8,Eye Irrit. 2,H319
"2,2'-oxydiethyl diacrylate; diethylene glycol diacrylate",223-791-6,4074-88-8,Skin Sens. 1,H317
"8,9,10-trinorborn-2-yl acrylate",NA,10027-06-2,Acute Tox. 4 *,H312
"8,9,10-trinorborn-2-yl acrylate",NA,10027-06-2,Skin Irrit. 2,H315
"8,9,10-trinorborn-2-yl acrylate",NA,10027-06-2,Skin Sens. 1,H317
pentaerythritol tetraacrylate,225-644-1,4986-89-4,Skin Irrit. 2,H315
pentaerythritol tetraacrylate,225-644-1,4986-89-4,Eye Irrit. 2,H319
pentaerythritol tetraacrylate,225-644-1,4986-89-4,Skin Sens. 1,H317
"2,3-epoxypropyl methacrylate; glycidyl methacrylate",203-441-9,106-91-2,Carc. 1B,H350
"2,3-epoxypropyl methacrylate; glycidyl methacrylate",203-441-9,106-91-2,Muta. 2,H341
"2,3-epoxypropyl methacrylate; glycidyl methacrylate",203-441-9,106-91-2,Repr. 1B,H360F
"2,3-epoxypropyl methacrylate; glycidyl methacrylate",203-441-9,106-91-2,Acute Tox. 3,H311
"2,3-epoxypropyl methacrylate; glycidyl methacrylate",203-441-9,106-91-2,Acute Tox. 4,H302
"2,3-epoxypropyl methacrylate; glycidyl methacrylate",203-441-9,106-91-2,STOT SE 3,H335
"2,3-epoxypropyl methacrylate; glycidyl methacrylate",203-441-9,106-91-2,STOT RE 1,H372 (respiratory tract) (Inhalation)
"2,3-epoxypropyl methacrylate; glycidyl methacrylate",203-441-9,106-91-2,Skin Corr. 1C,H314
"2,3-epoxypropyl methacrylate; glycidyl methacrylate",203-441-9,106-91-2,Eye Dam. 1,H318
